Course Code,Course Title,Track Name,Department Code,Status,Insert Query
APP1010,Apple: Cocoa,Apple,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('APP1010', 'Apple: Cocoa')"
APP1011,Apple: Introduction to Mac Technologies,Apple,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('APP1011', 'Apple: Introduction to Mac Technologies')"
APP1012,Apple: iOS Programming,Apple,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('APP1012', 'Apple: iOS Programming')"
APP1020,Apple: Advanced Cocoa,Apple,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('APP1020', 'Apple: Advanced Cocoa')"
APP1022,Apple: Advanced iOS Programming PART I,Apple,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('APP1022', 'Apple: Advanced iOS Programming PART I')"
APP1026,Apple:Advanced UX Design & Engineering,Apple,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('APP1026', 'Apple:Advanced UX Design & Engineering')"
APP1027,Mobile:Human Interface Guidelines,Apple,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('APP1027', 'Mobile:Human Interface Guidelines')"
AR01,Architecture description using IEE1471,Architecture,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AR01', 'Architecture description using IEE1471')"
AR03,Non Functional Requirements and ISO 9126,Architecture,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AR03', 'Non Functional Requirements and ISO 9126')"
BASIS_DEBUG,ABAP debugging n basics for Funct CONs,CSI Academy,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BASIS_DEBUG', 'ABAP debugging n basics for Funct CONs')"
BDA3,Introduction to Business Data Analytics,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BDA3', 'Introduction to Business Data Analytics')"
BIBOB,ER using Business Objects_BIBOB,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BIBOB', 'ER using Business Objects_BIBOB')"
BICOG,ER using Cognos_BICOG,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BICOG', 'ER using Cognos_BICOG')"
BIDBRD,Enterprise Dashboards_BIDBRD,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BIDBRD', 'Enterprise Dashboards_BIDBRD')"
BIDWH,Building Datawarehouse_BIDWH,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BIDWH', 'Building Datawarehouse_BIDWH')"
BIERWIN,Data Modeling using Erwin_BIERWIN,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BIERWIN', 'Data Modeling using Erwin_BIERWIN')"
BIINF,ETL using Informatica_BIINF,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BIINF', 'ETL using Informatica_BIINF')"
BIIS08,ETL using SSIS 2008_BIIS08,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BIIS08', 'ETL using SSIS 2008_BIIS08')"
BIRFPROI,RFP to ROI_BIRFPROI,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BIRFPROI', 'RFP to ROI_BIRFPROI')"
BIRS08,ER using SSRS 2008_BIRS08,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BIRS08', 'ER using SSRS 2008_BIRS08')"
BISQL08,Introduction to SQL 2008 database_BISQL08,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BISQL08', 'Introduction to SQL 2008 database_BISQL08')"
BISSAS08,SQL Server Analysis Services,Microsoft,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BISSAS08', 'SQL Server Analysis Services')"
BISSIS08,SQL Server Intergration Services,Microsoft,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BISSIS08', 'SQL Server Intergration Services')"
BISSRS08,SQL Server Reporting Services,Microsoft,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BISSRS08', 'SQL Server Reporting Services')"
BS001,Enterprise Functions ? Marketing,CSI Academy,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS001', 'Enterprise Functions ? Marketing')"
BS002,Enterprise Functions Manufacturing,Business Analysis,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS002', 'Enterprise Functions Manufacturing')"
BS003,Enterprise Functions Finance,Business Analysis,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS003', 'Enterprise Functions Finance')"
BS004,Enterprise Functions HRM,Business Analysis,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS004', 'Enterprise Functions HRM')"
BS005,Business Process,Business Analysis,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS005', 'Business Process')"
BS006,Enterprise IT Management,Business Analysis,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS006', 'Enterprise IT Management')"
BS007,"Business Metrics, KPIs and Dashboards",Business Analysis,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS007', 'Business Metrics, KPIs and Dashboards')"
BS008,Strategic Management,Business Analysis,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS008', 'Strategic Management')"
BS011,Consulting ? Generic Perspective,Business Analysis,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS011', 'Consulting ? Generic Perspective')"
BS012,Enterprise Functions Marketing,Business Analysis,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('BS012', 'Enterprise Functions Marketing')"
DataStage,ETL Using DataStage_DataStage,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DataStage', 'ETL Using DataStage_DataStage')"
DB1001,Advanced SQL Server 2008 Development,Microsoft,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB1001', 'Advanced SQL Server 2008 Development')"
DB1007,Advanced DB2 Application Programming,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB1007', 'Advanced DB2 Application Programming')"
DB135,TERADATA_DB135,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB135', 'TERADATA_DB135')"
DB151,Intro to Enterprise mainframe prodn envi,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB151', 'Intro to Enterprise mainframe prodn envi')"
DB153,DB2 Version 9 Features,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB153', 'DB2 Version 9 Features')"
DB154,DB2 v9 performance features,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB154', 'DB2 v9 performance features')"
DB155,IDMS Fundamentals,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB155', 'IDMS Fundamentals')"
DB162,DB2 SQL Stored Procedures on z/OS,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB162', 'DB2 SQL Stored Procedures on z/OS')"
DB164,Oracle SQL expert,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB164', 'Oracle SQL expert')"
DB165,Intro to PL/SQL,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB165', 'Intro to PL/SQL')"
DB166,Adv Concepts in IMS DB on Mainframes,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB166', 'Adv Concepts in IMS DB on Mainframes')"
